,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKRMHM,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
33779,30395889,1,72.0,0.0,0.0,1.0,0,2,3,62.5,0,1,30395889_1,0,1,0,1,1,0,0.0,1.0,1,2,48,222,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,160,0,0,0,0,0,0,0,0,0,45,10,55,27,13,40,0,0,0,1185,0.0,0.0,0.0,0.055003933992304,0.0,0.0,0.0,0.0197033348161124,0.0144177383544286,0.0,0,0,0,0
22273,30260300,4,20.0,1.0,1.0,97.0,0,6,3,30.0,0,1,30260300_4,0,1,0,1,0,0,0.0,0.0,1,3,20,15,0,5,5,0,0,0,0,0,0,0,0,0,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0.0,0.0091433794398697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
81906,40671011,4,22.0,1.0,1.0,1.0,0,5,3,7.5,0,1,40671011_4,1,1,0,1,0,0,0.0,1.0,1,3,50,480,0,20,20,0,0,0,0,0,0,480,30,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0.1898795435413145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
9293,30108538,3,24.0,0.0,0.0,1.0,0,3,3,112.5,1,1,30108538_3,0,1,0,1,1,0,0.0,1.0,1,3,95,549,0,39,39,0,0,0,549,56,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
39509,30464449,1,31.0,0.0,0.0,1.0,0,3,2,42.5,0,1,30464449_1,1,1,1,0,1,0,0.0,1.0,1,2,123,284,54,35,89,0,0,0,0,0,0,0,0,0,12,3,15,0,0,0,0,0,0,38,24,62,0,0,0,0,0,0,43,5,48,137,56,193,0,0,0,1122,0.0,0.0057676077675922,0.0,0.0,0.0233588454667583,0.0,0.0,0.018193004826019,0.0689328959056341,0.0,0,1,0,0
4202,30048056,2,46.0,0.0,1.0,1.0,0,4,3,42.5,0,0,30048056_2,0,1,1,1,1,0,0.0,1.0,1,3,130,531,51,48,99,0,0,0,425,36,461,0,0,0,0,0,0,0,0,0,0,0,0,32,15,47,0,0,0,0,0,0,0,0,0,0,0,0,23,31,54,878,0.0,0.0,0.0,0.0,0.02264721683293,0.0,0.0,0.0,0.0,0.0259213964478788,0,0,1,0
53179,40112947,5,72.0,1.0,1.0,1.0,0,5,4,112.5,0,1,40112947_5,0,1,0,1,0,0,0.0,1.0,1,4,40,250,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,20,270,0,0,0,0,0,0,0,0,0,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.090176630349088,0.0,0.0,0.0,0,0,0,0
55175,40152227,1,52.0,0.0,0.0,1.0,0,2,4,62.5,0,1,40152227_1,0,1,0,1,1,0,0.0,1.0,1,2,60,570,0,30,30,0,0,0,570,30,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
66642,40372134,3,23.0,0.0,1.0,1.0,0,3,0,62.5,1,1,40372134_3,0,1,1,0,1,0,0.0,1.0,1,0,60,960,0,30,30,0,0,0,960,30,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
76483,40564967,1,36.0,0.0,1.0,2.0,0,1,1,20.0,0,1,40564967_1,0,1,0,0,0,1,0.0,0.0,1,1,101,474,270,95,365,0,0,0,175,5,180,0,0,0,29,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0.0,0.0104654336781649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
59677,40238377,1,65.0,0.0,0.0,1.0,0,2,3,175.0,1,1,40238377_1,0,1,1,1,1,0,0.0,1.0,1,2,150,570,0,90,90,0,0,0,570,60,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
38766,30456052,1,55.0,1.0,0.0,1.0,0,1,1,62.5,0,1,30456052_1,0,1,1,1,0,0,0.0,1.0,1,1,75,645,0,45,45,0,0,0,645,30,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
53989,40128699,1,35.0,0.0,1.0,1.0,0,1,1,42.5,0,1,40128699_1,0,1,1,1,1,0,0.0,1.0,1,1,117,913,159,11,170,0,0,0,160,20,180,0,0,0,0,0,0,0,0,0,135,5,140,312,33,345,0,0,0,0,0,0,0,0,0,147,48,195,0,0,0,580,0.0,0.0,0.0,0.0939045028683311,0.2027137391760953,0.0,0.0,0.0,0.125873708943373,0.0,0,1,0,0
73866,40513277,1,26.0,0.0,0.0,1.0,0,2,5,42.5,0,1,40513277_1,0,1,0,1,1,0,0.0,1.0,1,2,70,865,0,20,20,0,0,0,600,15,615,0,0,0,0,0,0,0,0,0,0,0,0,150,20,170,0,0,0,0,0,0,0,0,0,0,0,0,115,15,130,525,0.0,0.0,0.0,0.0,0.121825501184157,0.0,0.0,0.0,0.0,0.0960819965858262,0,1,0,0
