,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
4358,9000174885,1,61,0,0.0,1,0,1,2,42.5,0,1,9000174885_1,0,1,1,0,1,0,0,1,1,1,83,377,70,35,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3,90,0,0,0,0,0,0,0,0,0,100,5,105,120,40,160,0,0,0,1085,0.0,0.0,0.0,0.0346081284232067,0.0,0.0,0.0,0.0401172232079824,0.0597396132472068,0.0,0,0,0,1
248,9000016081,1,31,0,1.0,1,0,2,2,42.5,0,1,9000016081_1,0,1,1,0,1,0,0,1,1,2,60,555,0,30,30,0,0,0,555,30,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3886,9000167888,2,27,0,1.0,3,0,2,0,112.5,0,1,9000167888_2,0,1,1,1,0,0,1,0,0,2,55,145,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,70,20,90,0,0,0,75,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0.0,0.0,0.0299632233774432,0.0,0.0299632233774432,0.0,0.0,0.0,0.0,0.0,0,1,0,0
4079,9000170599,2,59,1,0.0,1,0,2,2,42.5,0,1,9000170599_2,0,0,0,1,0,0,0,1,1,1,170,610,0,150,150,0,0,0,610,20,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
2991,9000127390,1,49,1,1.0,1,1,2,0,30.0,1,1,9000127390_1,0,0,0,0,0,0,0,1,1,0,78,360,0,38,38,0,0,0,360,40,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
592,9000048283,2,55,0,1.0,1,0,2,2,175.0,1,1,9000048283_2,0,1,1,1,1,0,0,1,1,2,20,635,0,10,10,0,0,0,635,10,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4696,9000212860,1,34,0,1.0,1,1,2,2,62.5,0,1,9000212860_1,0,1,1,1,1,0,0,1,1,2,90,110,0,20,20,0,0,0,0,0,0,0,0,0,15,25,40,0,0,0,0,0,0,70,20,90,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,1260,0.0,0.0135728071892738,0.0,0.0,0.0299632233774432,0.0,0.0,0.0169007505382013,0.0,0.0,0,1,0,0
4624,9000211727,1,29,0,0.0,1,0,1,1,62.5,0,1,9000211727_1,0,1,1,0,1,0,0,1,1,1,65,675,0,30,30,0,0,0,675,35,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
4680,9000212479,2,78,0,1.0,1,1,2,2,250.0,0,1,9000212479_2,0,1,1,1,1,0,0,1,1,2,127,83,0,45,45,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,23,37,60,0,0,0,60,30,90,0,0,0,0,0,0,0,0,0,1275,0.0,0.0050795255292749,0.0,0.0,0.01997108093062,0.0,0.0296224666068008,0.0,0.0,0.0,0,0,0,0
1977,9000095644,1,62,0,1.0,1,0,1,2,87.5,0,1,9000095644_1,0,1,1,1,1,0,0,1,0,1,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015105910252385,0.0,0.0,0,0,0,1
2778,9000117516,1,45,0,1.0,1,1,1,1,30.0,0,0,9000117516_1,0,1,0,1,1,0,0,1,0,1,20,50,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,60,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184834056940131,0,0,1,0
1395,9000074001,2,57,0,1.0,1,0,4,4,175.0,1,1,9000074001_2,0,1,1,1,1,0,0,1,0,4,60,630,565,30,595,0,0,0,0,0,0,0,0,0,25,10,35,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,40,10,50,0,0,0,1345,0.0,0.0111568020628097,0.0,0.0032170108719977,0.0,0.0,0.0,0.0,0.0158519232711895,0.0,0,0,1,0
4334,9000174384,2,54,0,1.0,3,0,3,3,175.0,0,1,9000174384_2,0,1,1,1,0,0,1,0,1,3,85,630,80,30,110,0,0,0,500,20,520,0,0,0,50,35,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0.0,0.0421013518619531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3705,9000165687,1,32,0,0.0,2,0,4,2,87.5,0,1,9000165687_1,0,1,0,0,0,1,0,0,0,2,9,56,0,5,5,0,0,0,0,0,0,0,0,0,56,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,0.0,0.0184834056940131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2541,9000114017,1,43,0,0.0,1,0,5,2,42.5,1,1,9000114017_1,0,1,1,0,1,0,0,1,1,2,95,370,165,50,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,25,85,0,0,0,145,20,165,0,0,0,0,0,0,0,0,0,0,0,0,1190,0.0,0.0,0.0,0.0299632233774432,0.0,0.0563923338178937,0.0,0.0,0.0,0.0,0,0,1,0
2942,9000126672,1,74,0,1.0,1,0,1,1,42.5,1,1,9000126672_1,0,1,1,1,1,0,0,1,0,1,45,150,0,15,15,0,0,0,0,0,0,0,0,0,30,15,45,0,0,0,0,0,0,0,0,0,120,15,135,0,0,0,0,0,0,0,0,0,0,0,0,1260,0.0,0.0152399665567369,0.0,0.0,0.0,0.0442036624920534,0.0,0.0,0.0,0.0,0,0,0,0
4117,9000171043,1,54,0,1.0,1,0,1,1,42.5,0,0,9000171043_1,0,1,1,1,1,0,0,1,1,1,30,615,0,15,15,588,7,595,0,0,0,0,0,0,27,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1405,0.0,0.0091755768289124,0.0,0.0,0.0,0.0,0.0,0.0015427884142812,0.0,0.0,0,0,1,0
4041,9000170081,1,58,0,1.0,1,0,2,1,62.5,1,1,9000170081_1,0,1,1,0,1,0,0,1,1,1,80,660,45,40,85,0,0,0,500,20,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,20,135,0,0,0,0,0,0,785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689181706003027,0.0,0.0,0,0,0,1
1177,9000057283,1,67,0,0.0,1,0,4,2,112.5,0,1,9000057283_1,0,1,1,1,1,0,0,1,1,3,130,645,105,40,145,0,0,0,525,85,610,0,0,0,15,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0.0,0.0105930734974242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
