HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME
9000013002,2,42,0,0.0,1,1,4,2,250.0,1,1,9000013002_2,0,1,1,1,1,0,0,1,0,2,70,20,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,60,0,0,0,0,0,0,1380
9000013016,1,32,0,1.0,1,0,2,1,87.5,0,1,9000013016_1,0,1,1,0,1,0,0,1,1,2,55,365,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,10,270,0,0,0,105,15,120,0,0,0,1050
9000013016,2,41,0,0.0,1,1,2,1,87.5,0,1,9000013016_2,0,1,0,0,1,0,0,1,1,2,55,365,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,10,270,0,0,0,105,15,120,0,0,0,1050
9000013039,1,38,0,0.0,1,1,4,1,87.5,1,1,9000013039_1,0,1,1,0,1,0,0,1,1,2,20,50,0,10,10,0,0,0,0,0,0,0,0,0,50,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380
9000013042,1,59,0,0.0,3,1,3,2,250.0,1,1,9000013042_1,1,1,1,1,0,0,1,0,1,2,60,60,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350
9000013042,2,38,0,1.0,3,1,3,2,250.0,1,1,9000013042_2,1,1,1,1,0,0,1,0,1,2,60,60,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350
9000013044,1,29,0,1.0,1,1,2,2,87.5,1,1,9000013044_1,0,1,1,0,1,0,0,1,1,2,25,5,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,0,0,0,1425
9000013044,2,30,0,0.0,1,1,2,2,87.5,1,1,9000013044_2,0,1,1,0,1,0,0,1,1,2,25,5,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,0,0,0,1425
9000013045,1,35,0,0.0,1,1,2,1,62.5,1,1,9000013045_1,0,1,1,0,1,0,0,1,1,1,90,140,0,15,15,110,20,130,0,0,0,0,0,0,30,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,1355
9000013045,2,34,0,1.0,1,1,2,1,62.5,1,1,9000013045_2,0,1,1,0,1,0,0,1,1,1,50,180,0,15,15,0,0,0,0,0,0,150,20,170,30,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225
